protein_id,cluster_id,protein_fold,cluster_fold,n_residues
2C71,cluster_2C71,2,5,205
2CE0,cluster_2CE0,3,2,99
2CG7,cluster_2CG7,3,5,90
2COV,cluster_2COV,5,3,534
2CWS,cluster_2CWS,3,4,227
2D5W,cluster_2D5W,5,5,1214
2DKO,cluster_2DKO,2,2,253
2DPL,cluster_2DPL,1,5,565
2DSX,cluster_2DSX,5,4,52
2E10,cluster_2E10,3,5,439
2E3H,cluster_2E3H,1,4,81
2EAQ,cluster_2EAQ,1,4,89
2EHP,cluster_2EHP,2,3,248
2EHS,cluster_1X3O,1,3,75
2ERW,cluster_2ERW,2,3,53
2ETX,cluster_2ETX,5,1,389
2FB6,cluster_2FB6,4,5,116
2FG1,cluster_2FG1,1,1,157
2FN9,cluster_2FN9,5,2,560
2FQ3,cluster_2FQ3,1,2,85
2G69,cluster_2G69,4,1,99
2G7O,cluster_2G7O,2,2,68
2G7S,cluster_2G7S,5,1,190
2GKG,cluster_2GKG,1,5,122
2GOM,cluster_2GOM,1,4,121
2GXG,cluster_2GXG,3,1,140
2GZQ,cluster_2GZQ,3,5,191
2HQK,cluster_2HQK,5,1,213
2HYK,cluster_2HYK,5,1,237
2I24,cluster_2I24,1,4,113
2I49,cluster_2I49,1,3,398
2IBL,cluster_2IBL,3,2,108
2IGD,cluster_2IGD,3,1,61
2IMF,cluster_2IMF,1,3,203
2IP6,cluster_2IP6,5,5,87
2IVY,cluster_2IVY,3,3,88
2J32,cluster_2J32,4,4,244
2J9W,cluster_2J9W,3,1,200
2JKU,cluster_2JKU,1,1,35
2JLI,cluster_2JLI,2,4,100
2JLJ,cluster_2JLI,3,4,115
2MCM,cluster_1NOA,1,4,112
2NLS,cluster_2NLS,5,2,36
2NR7,cluster_2NR7,1,4,194
2NUH,cluster_1KR4,1,3,104
2O6X,cluster_2O6X,3,2,306
2OA2,cluster_2OA2,5,4,132
2OCT,cluster_2OCT,1,4,192
2OHW,cluster_2OHW,4,4,256
2OKT,cluster_2OKT,3,5,342
2OL9,cluster_2OL9,1,1,6
2OLX,cluster_2OLX,4,3,4
2PKT,cluster_2PKT,5,1,91
2PLT,cluster_2PLT,1,2,98
2PMR,cluster_2PMR,4,4,76
2POF,cluster_2POF,2,4,440
2PPN,cluster_2PPN,2,5,107
2PSF,cluster_2PSF,2,4,608
2PTH,cluster_2PTH,5,3,193
2Q4N,cluster_2Q4N,4,2,153
2Q52,cluster_1WBE,2,3,412
2QJL,cluster_2QJL,1,5,99
2R16,cluster_2R16,2,1,175
2R6Q,cluster_2R6Q,2,3,138
2RB8,cluster_2RB8,1,4,93
2RE2,cluster_2RE2,2,2,238
2RFR,cluster_2RFR,3,2,154
2V9V,cluster_2V9V,5,1,135
2VE8,cluster_2VE8,3,1,515
2VH7,cluster_2VH7,5,5,94
2VIM,cluster_2VIM,5,5,104
2VPA,cluster_2VPA,5,2,204
2VQ4,cluster_2VQ4,4,4,106
2VY8,cluster_2VY8,2,5,149
2VYO,cluster_2C71,3,5,206
2W1V,cluster_2W1V,2,5,548
2W2A,cluster_2W2A,5,3,350
2W6A,cluster_2W6A,5,3,117
2WJ5,cluster_2WJ5,5,2,96
2WUJ,cluster_2WUJ,5,1,100
2WW7,cluster_2WW7,4,3,150
2WWE,cluster_2WWE,4,4,111
2X1Q,cluster_2X1Q,5,5,240
2X25,cluster_2X25,4,2,168
2X3M,cluster_2X3M,2,3,166
2X5Y,cluster_2X5Y,1,4,171
2X9Z,cluster_2X9Z,3,5,262
2XHF,cluster_2XHF,2,5,310
2Y0T,cluster_2Y0T,1,3,101
2Y72,cluster_2Y72,5,5,170
2Y7L,cluster_2Y7L,2,4,319
2Y9F,cluster_2Y9F,5,4,149
2YLB,cluster_2YLB,3,2,400
2YNY,cluster_2YNY,1,1,315
2ZCM,cluster_2ZCM,3,1,357
2ZU1,cluster_2ZU1,5,2,360
3A0M,cluster_3A0M,3,1,148
3A7L,cluster_3A7L,2,4,128
3AMC,cluster_3AMC,3,2,614
3AUB,cluster_3AUB,2,1,116
3B5O,cluster_3B5O,5,1,230
3BA1,cluster_3BA1,4,4,312
3BED,cluster_3BED,1,1,261
3BQX,cluster_3BQX,4,4,139
3BZQ,cluster_3BZQ,2,3,99
3BZZ,cluster_3BZZ,5,5,100
3DRF,cluster_3DRF,1,4,547
3DWV,cluster_3DWV,1,2,325
3E5T,cluster_2HQK,4,1,228
3E7R,cluster_3E7R,3,4,40
3EUR,cluster_3EUR,1,3,140
3F2Z,cluster_3F2Z,4,3,149
3F7E,cluster_3F7E,3,3,254
3FCN,cluster_3FCN,4,1,158
3FE7,cluster_3FE7,4,3,91
3FKE,cluster_3FKE,4,5,250
3FMY,cluster_3FMY,5,2,66
3FOD,cluster_3FOD,2,1,48
3FSO,cluster_3FSO,1,2,221
3FTD,cluster_3FTD,1,1,240
3FVA,cluster_3FVA,5,1,6
3G1S,cluster_3G1S,1,1,418
3GBW,cluster_3GBW,2,4,161
3GHJ,cluster_3GHJ,1,5,116
3HFO,cluster_3HFO,2,4,197
3HHP,cluster_3HHP,5,5,1234
3HNY,cluster_3HNY,2,5,156
3HP4,cluster_3HP4,2,4,183
3HWU,cluster_3HWU,2,2,144
3HYD,cluster_3HYD,5,5,7
3HZ8,cluster_3HZ8,2,2,192
3I2V,cluster_3I2V,2,3,124
3I2Z,cluster_3I2Z,4,5,138
3I4O,cluster_3I4O,1,1,135
3I7M,cluster_3I7M,2,2,134
3IHS,cluster_1OPD,4,2,169
3IVV,cluster_3IVV,3,4,149
3K6Y,cluster_3K6Y,2,2,227
3KBE,cluster_3KBE,2,5,140
3KGK,cluster_3KGK,4,2,190
3KZD,cluster_3KZD,5,3,85
3L41,cluster_2ETX,1,1,220
3LAA,cluster_3LAA,3,3,169
3LAX,cluster_3LAX,1,3,106
3LG3,cluster_3LG3,5,4,833
3LJI,cluster_3LJI,4,5,272
3M3P,cluster_3M3P,1,1,249
3M8J,cluster_3M8J,4,1,178
3M9J,cluster_3M9J,3,3,210
3M9Q,cluster_3M9Q,1,2,176
3MAB,cluster_1OPD,3,2,173
3MD4,cluster_3MD4,2,2,12
3MD5,cluster_3MD5,1,5,12
3MEA,cluster_3MEA,3,2,166
3MGN,cluster_3MGN,4,2,348
3MRE,cluster_3MRE,2,5,383
3N11,cluster_3N11,5,1,325
3NE0,cluster_3NE0,4,1,208
3NGG,cluster_3NGG,3,1,94
3NPV,cluster_3NPV,2,5,495
3NVG,cluster_3NVG,3,2,6
3NZL,cluster_3NZL,1,5,73
3O0P,cluster_3O0P,2,5,194
3O5P,cluster_3O5P,1,5,128
3OBQ,cluster_3OBQ,1,2,150
3OQY,cluster_3OQY,3,3,234
3P6J,cluster_3P6J,5,3,125
3PD7,cluster_3PD7,1,5,188
3PES,cluster_3PES,4,3,165
3PID,cluster_3PID,3,4,387
3PIW,cluster_3PIW,1,5,154
3PKV,cluster_3PKV,3,3,221
3PSM,cluster_3PSM,2,4,94
3PTL,cluster_3PTL,5,4,289
3PVE,cluster_3PVE,1,1,347
3PZ9,cluster_3PZ9,2,4,357
3PZZ,cluster_3PZZ,4,2,12
3Q2X,cluster_3Q2X,1,4,6
3Q6L,cluster_3Q6L,4,2,131
3QDS,cluster_3QDS,5,1,284
3QPA,cluster_3QPA,5,5,197
3R6D,cluster_3R6D,2,4,221
3R87,cluster_3R87,1,5,132
3RQ9,cluster_3RQ9,3,1,162
3RY0,cluster_3RY0,3,1,128
3RZY,cluster_3Q6L,5,2,139
3S0A,cluster_3S0A,3,2,119
3SD2,cluster_3SD2,2,1,86
3SEB,cluster_3SEB,3,3,238
3SED,cluster_3SED,3,2,124
3SO6,cluster_3SO6,5,1,150
3SR3,cluster_3SR3,5,5,637
3SUK,cluster_3SUK,3,2,248
3SZH,cluster_3SZH,3,2,697
3T0H,cluster_3T0H,5,5,208
3T3K,cluster_3T3K,3,3,122
3T47,cluster_3T47,1,4,141
3TDN,cluster_3TDN,4,3,357
3TOW,cluster_3TOW,3,1,152
3TUA,cluster_3TUA,2,2,210
3TYS,cluster_3TYS,5,3,75
3U6G,cluster_3U6G,5,4,248
3U97,cluster_3U97,2,5,77
3UCI,cluster_3UCI,5,3,72
3UR8,cluster_3UR8,4,4,637
3US6,cluster_3US6,1,5,148
3V1A,cluster_3V1A,3,5,48
3V75,cluster_3V75,2,2,285
3VN0,cluster_3VN0,4,1,193
3VOR,cluster_3VOR,3,5,182
3VUB,cluster_3VUB,4,3,101
3VVV,cluster_3VVV,5,1,108
3VZ9,cluster_3VZ9,5,5,163
3W4Q,cluster_1ES5,4,3,773
3ZBD,cluster_3ZBD,4,1,213
3ZIT,cluster_3ZIT,5,3,152
3ZRX,cluster_3ZRX,3,3,221
3ZSL,cluster_3ZSL,3,2,138
3ZZP,cluster_3ZZP,2,2,74
3ZZY,cluster_3ZZY,4,3,226
4A02,cluster_4A02,1,2,166
4ACJ,cluster_4ACJ,1,1,167
4AE7,cluster_4AE7,1,3,186
4AM1,cluster_4AM1,2,4,345
4ANN,cluster_4ANN,5,3,176
4AVR,cluster_4AVR,3,1,188
4AXY,cluster_4AXY,3,4,54
4B6G,cluster_4B6G,4,3,558
4B9G,cluster_4B9G,1,5,292
4DD5,cluster_4DD5,4,1,387
4DKN,cluster_4DKN,5,3,423
4DND,cluster_4DND,5,3,95
4DPZ,cluster_4DPZ,4,1,109
4DQ7,cluster_4DQ7,4,3,328
4DT4,cluster_4DT4,5,4,160
4EK3,cluster_4EK3,3,3,287
4ERY,cluster_4ERY,5,2,318
4ES1,cluster_4ES1,4,1,95
4EUG,cluster_4EUG,5,1,225
4F01,cluster_4F01,1,3,448
4F3J,cluster_4F3J,3,3,143
4FR9,cluster_4FR9,5,2,141
4G14,cluster_4G14,4,1,15
4G2E,cluster_4G2E,2,4,151
4G5X,cluster_4G5X,3,1,550
4G6C,cluster_4G6C,2,3,658
4G7X,cluster_4G7X,3,3,194
4GA2,cluster_4GA2,1,5,144
4GMQ,cluster_4GMQ,3,5,92
4GS3,cluster_4GS3,2,3,90
4H4J,cluster_4H4J,4,4,236
4H89,cluster_4H89,2,4,168
4HDE,cluster_4HDE,5,5,168
4HJP,cluster_4HJP,1,4,281
4HWM,cluster_4HWM,2,4,117
4IL7,cluster_4IL7,2,2,85
4J11,cluster_4J11,1,5,357
4J5O,cluster_4J5O,2,2,220
4J5Q,cluster_2FG1,5,1,146
4J78,cluster_4J78,4,3,305
4JG2,cluster_4JG2,5,2,185
4JVU,cluster_4JVU,1,4,207
4JYP,cluster_4JYP,4,2,534
4KEF,cluster_4KEF,3,3,133
5CYT,cluster_1CCR,3,5,103
6RXN,cluster_6RXN,1,1,45
