protein_a,protein_b,chain_a,chain_b,length_a,length_b,identity,coverage_shorter,aligned_pairs,score
1CCR,3MD5,A,A,109,6,0.4,0.8333333333333334,5,14.0
1CCR,3MGN,A,H,109,1,1.0,1.0,1,6.0
1CCR,4B6G,A,A,109,283,0.33707865168539325,0.8165137614678899,89,47.0
1CCR,4G14,A,A,109,5,0.6,1.0,5,15.0
1CCR,5CYT,A,R,109,103,0.5841584158415841,0.9805825242718447,101,315.0
1CYO,1GCO,A,A,88,261,0.325,0.9090909090909091,80,52.5
1CYO,1YJO,A,A,88,6,0.4,0.8333333333333334,5,14.0
1CYO,2DKO,A,I,88,3,0.6666666666666666,1.0,3,11.0
1CYO,2OLX,A,A,88,4,0.5,1.0,4,13.0
1CYO,2WUJ,A,A,88,50,0.3181818181818182,0.88,44,23.5
1CYO,3FVA,A,A,88,6,0.3333333333333333,1.0,6,15.0
1CYO,3MGN,A,H,88,1,1.0,1.0,1,6.0
1CYO,3Q2X,A,A,88,6,0.5,1.0,6,10.0
1CYO,4J78,A,B,88,5,0.75,0.8,4,14.0
1DF4,2DPL,A,A,57,287,0.32608695652173914,0.8070175438596491,46,27.5
1DF4,3FOD,A,A,57,6,0.4,0.8333333333333334,5,9.0
1DF4,3MGN,A,H,57,1,1.0,1.0,1,6.0
1DF4,3Q2X,A,A,57,6,0.3333333333333333,1.0,6,9.0
1DF4,4J78,A,B,57,5,0.5,0.8,4,11.0
1E5K,1KYC,A,A,188,15,0.5833333333333334,0.8,12,21.5
1E5K,2D5W,A,D,188,5,0.6,1.0,5,10.0
1E5K,2OLX,A,A,188,4,0.5,1.0,4,13.0
1E5K,3HYD,A,A,188,7,0.5,0.8571428571428571,6,14.0
1E5K,3L41,A,B,188,5,0.75,0.8,4,18.0
1E5K,3MGN,A,H,188,1,1.0,1.0,1,6.0
1E5K,3OBQ,A,B,188,9,0.5,0.8888888888888888,8,17.0
1E5K,3PZZ,A,A,188,6,0.3333333333333333,1.0,6,14.0
1E5K,3Q2X,A,A,188,6,0.4,0.8333333333333334,5,13.0
1E5K,3ZZY,A,C,188,8,0.42857142857142855,0.875,7,14.0
1ES5,1Y6X,A,A,260,87,0.3013698630136986,0.8390804597701149,73,32.0
1ES5,1YJO,A,A,260,6,0.6,0.8333333333333334,5,16.0
1ES5,2DKO,A,I,260,3,0.6666666666666666,1.0,3,11.0
1ES5,2Y7L,A,B,260,7,0.8333333333333334,0.8571428571428571,6,13.5
1ES5,3FOD,A,A,260,6,0.6,0.8333333333333334,5,17.0
1ES5,3L41,A,B,260,5,0.5,0.8,4,14.0
1ES5,3MD4,A,A,260,6,0.6666666666666666,1.0,6,16.0
1ES5,3MD5,A,A,260,6,0.3333333333333333,1.0,6,16.0
1ES5,3MEA,A,B,260,3,0.6666666666666666,1.0,3,11.0
1ES5,3MGN,A,H,260,1,1.0,1.0,1,6.0
1ES5,3OQY,A,a,260,13,0.5,0.9230769230769231,12,19.0
1ES5,3W4Q,A,A,260,258,0.32857142857142857,0.813953488372093,210,81.5
1ETL,1ETM,A,A,12,12,0.9166666666666666,1.0,12,73.0
1ETL,1ETN,A,A,12,12,0.9166666666666666,1.0,12,77.0
1ETL,1RJU,A,V,12,36,0.5,1.0,12,24.0
1ETL,1SAU,A,A,12,114,0.3333333333333333,1.0,12,22.0
1ETL,2BRF,A,A,12,100,0.4,0.8333333333333334,10,20.0
1ETL,2FB6,A,A,12,116,0.6,0.8333333333333334,10,26.0
1ETL,2OHW,A,A,12,128,0.3,0.8333333333333334,10,11.0
1ETL,3HP4,A,A,12,182,0.5,0.8333333333333334,10,21.0
1ETL,3MGN,A,H,12,1,1.0,1.0,1,6.0
1ETL,3O5P,A,A,12,128,0.6363636363636364,0.9166666666666666,11,31.5
1ETL,3PZ9,A,A,12,357,0.4,0.8333333333333334,10,17.0
1ETL,3ZIT,A,A,12,74,0.36363636363636365,0.9166666666666666,11,25.0
1ETL,4EUG,A,A,12,225,0.4,0.8333333333333334,10,19.0
1ETM,1ETN,A,A,12,12,0.9166666666666666,1.0,12,76.0
1ETM,1K8U,A,A,12,89,0.4,0.8333333333333334,10,12.0
1ETM,1SAU,A,A,12,114,0.3333333333333333,1.0,12,22.0
1ETM,1ULR,A,A,12,87,0.4,0.8333333333333334,10,11.0
1ETM,2BRF,A,A,12,100,0.4,0.8333333333333334,10,18.0
1ETM,3BA1,A,A,12,312,0.45454545454545453,0.9166666666666666,11,14.5
1ETM,3MGN,A,H,12,1,1.0,1.0,1,6.0
1ETM,3ZIT,A,A,12,74,0.36363636363636365,0.9166666666666666,11,22.0
1ETM,4HDE,A,A,12,168,0.4,0.8333333333333334,10,28.0
1ETN,1RJU,A,V,12,36,0.5,1.0,12,25.0
1ETN,1SAU,A,A,12,114,0.3333333333333333,1.0,12,23.0
1ETN,2BRF,A,A,12,100,0.4,0.8333333333333334,10,21.0
1ETN,3HP4,A,A,12,182,0.4,0.8333333333333334,10,15.0
1ETN,3MGN,A,H,12,1,1.0,1.0,1,6.0
1ETN,3O5P,A,A,12,128,0.5,0.8333333333333334,10,29.0
1ETN,3PZ9,A,A,12,357,0.4,0.8333333333333334,10,16.0
1ETN,3US6,A,A,12,148,0.4166666666666667,1.0,12,20.0
1ETN,3ZIT,A,A,12,74,0.36363636363636365,0.9166666666666666,11,24.0
1ETN,4HDE,A,A,12,168,0.4,0.8333333333333334,10,25.0
1EW4,1OB4,A,A,106,5,0.5,0.8,4,10.0
1EW4,1OB7,A,A,106,5,0.5,0.8,4,10.0
1EW4,2J32,A,B,106,4,0.5,1.0,4,11.0
1EW4,2OL9,A,A,106,6,0.4,0.8333333333333334,5,13.0
1EW4,2OLX,A,A,106,4,0.5,1.0,4,13.0
1EW4,3FOD,A,A,106,6,0.4,0.8333333333333334,5,11.0
1EW4,3FVA,A,A,106,6,0.4,0.8333333333333334,5,12.0
1EW4,3HYD,A,A,106,7,0.42857142857142855,1.0,7,15.0
1EW4,3MEA,A,B,106,3,0.6666666666666666,1.0,3,8.0
1EW4,3MGN,A,H,106,1,1.0,1.0,1,6.0
1EW4,3Q2X,A,A,106,6,0.4,0.8333333333333334,5,12.0
1F8R,1KYC,A,A,483,15,0.5,0.8,12,29.0
1F8R,1R7J,A,A,483,90,0.35,0.8888888888888888,80,45.5
1F8R,2D5W,A,C,483,5,0.75,0.8,4,16.0
1F8R,2DKO,A,I,483,3,0.6666666666666666,1.0,3,14.0
1F8R,2OL9,A,A,483,6,0.4,0.8333333333333334,5,13.0
1F8R,2OLX,A,A,483,4,0.5,1.0,4,13.0
1F8R,2WW7,A,A,483,22,0.38095238095238093,0.9545454545454546,21,25.0
1F8R,2Y7L,A,B,483,7,0.5,0.8571428571428571,6,18.0
1F8R,3BZZ,A,A,483,19,0.375,0.8421052631578947,16,21.0
1F8R,3FVA,A,A,483,6,0.3333333333333333,1.0,6,14.0
1F8R,3HP4,A,A,483,182,0.3509933774834437,0.8296703296703297,151,44.0
1F8R,3HYD,A,A,483,7,0.5,0.8571428571428571,6,14.0
1F8R,3L41,A,B,483,5,0.75,0.8,4,17.0
1F8R,3MGN,A,H,483,1,1.0,1.0,1,6.0
1F8R,3RQ9,A,A,483,78,0.328125,0.8205128205128205,64,33.0
1F8R,3TDN,A,B,483,236,0.3005181347150259,0.8177966101694916,193,46.5
1FF4,1PEN,A,A,65,16,0.4375,1.0,16,27.0
1FF4,2B0A,A,A,65,186,0.3684210526315789,0.8769230769230769,57,34.5
1FF4,2D5W,A,C,65,5,0.6,1.0,5,14.0
1FF4,2DKO,A,I,65,3,0.3333333333333333,1.0,3,8.0
1FF4,2Y7L,A,B,65,7,0.5,0.8571428571428571,6,13.0
1FF4,3MEA,A,B,65,3,0.6666666666666666,1.0,3,8.0
1FF4,3MGN,A,H,65,1,1.0,1.0,1,6.0
1FK5,2D5W,A,C,93,5,0.75,0.8,4,12.0
1FK5,2Y7L,A,B,93,7,0.42857142857142855,1.0,7,11.0
1FK5,3FOD,A,A,93,6,0.6,0.8333333333333334,5,12.0
1FK5,3LG3,A,B,93,414,0.30666666666666664,0.8064516129032258,75,37.5
1FK5,3MEA,A,B,93,3,1.0,1.0,3,14.0
1FK5,3MGN,A,H,93,1,1.0,1.0,1,6.0
1FK5,3MRE,A,P,93,9,0.4444444444444444,1.0,9,17.0
1FK5,3NVG,A,A,93,6,0.4,0.8333333333333334,5,13.0
1FK5,3PSM,A,A,93,47,0.3023255813953488,0.9148936170212766,43,22.0
1GCO,1P9I,A,A,261,29,0.3076923076923077,0.896551724137931,26,21.5
1GCO,1VRZ,A,A,261,13,0.3333333333333333,0.9230769230769231,12,23.0
1GCO,2J32,A,B,261,4,0.5,1.0,4,12.0
1GCO,3I2Z,A,B,261,67,0.34545454545454546,0.8208955223880597,55,43.0
1GCO,3L41,A,B,261,5,0.4,1.0,5,17.0
1GCO,3MD4,A,A,261,6,0.6666666666666666,1.0,6,18.0
1GCO,3MD5,A,A,261,6,0.6666666666666666,1.0,6,17.0
1GCO,3MGN,A,H,261,1,1.0,1.0,1,6.0
1GCO,3PTL,A,B,261,10,0.5555555555555556,0.9,9,19.0
1GCO,3PZZ,A,A,261,6,0.6,0.8333333333333334,5,18.0
1GCO,3Q2X,A,A,261,6,0.6,0.8333333333333334,5,18.0
1GCO,3S0A,A,A,261,119,0.30612244897959184,0.8235294117647058,98,59.0
1GCO,4DQ7,A,A,261,168,0.3237410071942446,0.8273809523809523,139,43.0
1GCO,4GMQ,A,A,261,92,0.35555555555555557,0.9782608695652174,90,43.5
1GCO,4J78,A,B,261,5,0.4,1.0,5,12.0
1GK7,1O08,A,A,39,221,0.36363636363636365,0.8461538461538461,33,27.0
1GK7,1V70,A,A,39,105,0.375,0.8205128205128205,32,27.0
1GK7,2D5W,A,C,39,5,0.5,0.8,4,8.0
1GK7,2DKO,A,I,39,3,0.6666666666666666,1.0,3,11.0
1GK7,2OKT,A,A,39,342,0.34375,0.8205128205128205,32,31.5
1GK7,2V9V,A,A,39,135,0.32432432432432434,0.9487179487179487,37,24.0
1GK7,2W6A,A,A,39,61,0.36363636363636365,0.8461538461538461,33,32.0
1GK7,2ZU1,A,A,39,180,0.36363636363636365,0.8461538461538461,33,28.5
1GK7,3FE7,A,A,39,83,0.30303030303030304,0.8461538461538461,33,23.0
1GK7,3MGN,A,H,39,1,1.0,1.0,1,6.0
1GK7,3PID,A,A,39,387,0.358974358974359,1.0,39,33.0
1GK7,3US6,A,A,39,148,0.34210526315789475,0.9743589743589743,38,28.5
1GK7,3VN0,A,A,39,48,0.34375,0.8205128205128205,32,38.5
1GK7,3ZRX,A,A,39,111,0.3235294117647059,0.8717948717948718,34,30.0
1GK7,4G14,A,A,39,5,0.75,0.8,4,11.0
1GK7,4J78,A,B,39,5,0.4,1.0,5,12.0
1GK7,4KEF,A,A,39,133,0.38235294117647056,0.8717948717948718,34,22.0
1GVD,1SAU,A,A,52,114,0.3333333333333333,0.8076923076923077,42,44.0
1GVD,2OHW,A,A,52,128,0.32558139534883723,0.8269230769230769,43,34.0
1GVD,3MGN,A,H,52,1,1.0,1.0,1,6.0
1GVD,4G14,A,A,52,5,0.5,0.8,4,12.0
1GXU,1OB4,A,A,88,5,0.5,0.8,4,14.0
1GXU,1OB7,A,A,88,5,0.5,0.8,4,14.0
1GXU,2D5W,A,D,88,5,0.4,1.0,5,7.0
1GXU,2DKO,A,I,88,3,0.6666666666666666,1.0,3,10.0
1GXU,2J32,A,B,88,4,0.5,1.0,4,12.0
1GXU,2JKU,A,A,88,35,0.3,0.8571428571428571,30,22.5
1GXU,2OL9,A,A,88,6,0.4,0.8333333333333334,5,9.0
1GXU,3FE7,A,L,88,5,0.6,1.0,5,24.0
1GXU,3FOD,A,A,88,6,0.4,0.8333333333333334,5,7.0
1GXU,3HYD,A,A,88,7,0.42857142857142855,1.0,7,11.0
1GXU,3MD5,A,A,88,6,0.6,0.8333333333333334,5,12.0
1GXU,3MGN,A,H,88,1,1.0,1.0,1,6.0
1GXU,3PZZ,A,A,88,6,0.3333333333333333,1.0,6,12.0
1H6V,1OB4,A,A,490,5,0.5,0.8,4,15.0
1H6V,1OB7,A,A,490,5,0.5,0.8,4,15.0
1H6V,1TGR,A,A,490,52,0.3953488372093023,0.8269230769230769,43,37.5
1H6V,1UTG,A,A,490,70,0.3392857142857143,0.8,56,53.0
1H6V,1XY1,A,A,490,8,0.375,1.0,8,19.0
1H6V,1XY2,A,A,490,8,0.375,1.0,8,19.0
1H6V,1YJO,A,A,490,6,0.4,0.8333333333333334,5,15.0
1H6V,2D5W,A,D,490,5,0.75,0.8,4,12.0
1H6V,2OL9,A,A,490,6,0.6,0.8333333333333334,5,16.0
1H6V,2VH7,C,A,482,94,0.3125,0.851063829787234,80,40.5
1H6V,2Y72,A,A,490,85,0.35135135135135137,0.8705882352941177,74,42.5
1H6V,2Y7L,A,B,490,7,0.3333333333333333,0.8571428571428571,6,17.0
1H6V,3FE7,A,L,490,5,0.6,1.0,5,20.0
1H6V,3FVA,A,A,490,6,0.4,0.8333333333333334,5,14.0
1H6V,3HYD,A,A,490,7,0.5,0.8571428571428571,6,16.0
1H6V,3L41,A,B,490,5,0.5,0.8,4,13.0
1H6V,3MD4,A,A,490,6,0.4,0.8333333333333334,5,16.0
1H6V,3MGN,A,H,490,1,1.0,1.0,1,6.0
1H6V,3MRE,A,P,490,9,0.3333333333333333,1.0,9,16.0
1H6V,3PTL,A,B,490,10,0.3,1.0,10,14.0
1H6V,3PZZ,A,A,490,6,0.6,0.8333333333333334,5,15.0
1H6V,3ZBD,A,B,490,103,0.39325842696629215,0.8640776699029126,89,45.5
1HJE,1LR7,A,A,13,73,0.5,0.9230769230769231,12,34.0
1HJE,1NOT,A,A,13,13,0.8333333333333334,0.9230769230769231,12,67.0
1HJE,1Q9B,A,A,13,43,0.38461538461538464,1.0,13,31.0
1HJE,2D5W,A,C,13,5,0.6,1.0,5,13.0
1HJE,2FN9,A,A,13,280,0.4166666666666667,0.9230769230769231,12,15.5
1HJE,3MGN,A,H,13,1,1.0,1.0,1,6.0
1HJE,3PID,A,A,13,387,0.3333333333333333,0.9230769230769231,12,28.0
1HJE,3UCI,A,A,13,72,0.5,0.9230769230769231,12,27.0
1I71,2D5W,A,D,83,5,0.5,0.8,4,9.0
1I71,2OL9,A,A,83,6,0.3333333333333333,1.0,6,10.0
1I71,3MGN,A,H,83,1,1.0,1.0,1,6.0
1IDP,1OB4,A,A,147,5,0.75,0.8,4,18.0
1IDP,1OB7,A,A,147,5,0.75,0.8,4,18.0
1IDP,2BRF,A,A,147,100,0.3333333333333333,0.9,90,33.5
1IDP,2DKO,A,I,147,3,1.0,1.0,3,15.0
1IDP,2Y7L,A,B,147,7,0.6666666666666666,0.8571428571428571,6,13.0
1IDP,3HYD,A,A,147,7,0.3333333333333333,0.8571428571428571,6,12.0
1IDP,3MGN,A,H,147,1,1.0,1.0,1,6.0
1IDP,3PTL,A,B,147,10,0.4444444444444444,0.9,9,19.0
1IDP,4G14,A,A,147,5,0.75,0.8,4,18.0
1IFR,1OB4,A,A,113,5,0.5,0.8,4,9.0
1IFR,1OB7,A,A,113,5,0.5,0.8,4,9.0
1IFR,2D5W,A,D,113,5,0.5,0.8,4,9.0
1IFR,2DKO,A,I,113,3,0.6666666666666666,1.0,3,11.0
1IFR,2J32,A,B,113,4,0.75,1.0,4,17.0
1IFR,2OLX,A,A,113,4,0.5,1.0,4,11.0
1IFR,3DRF,A,B,113,8,0.375,1.0,8,13.0
1IFR,3FOD,A,A,113,6,0.5,1.0,6,18.0
1IFR,3L41,A,B,113,5,0.5,0.8,4,12.0
1IFR,3MGN,A,H,113,1,1.0,1.0,1,6.0
1IFR,3OBQ,A,B,113,9,0.5,0.8888888888888888,8,16.0
1IFR,3VN0,A,D,113,47,0.3333333333333333,0.8297872340425532,39,25.0
1IFR,4G14,A,A,113,5,0.6,1.0,5,13.0
1IFR,4J78,A,B,113,5,0.4,1.0,5,12.0
1K8U,1O06,A,A,89,20,0.5,0.8,16,23.5
1K8U,1YJO,A,A,89,6,0.6,0.8333333333333334,5,15.0
1K8U,2OLX,A,A,89,4,0.5,1.0,4,11.0
1K8U,3L41,A,B,89,5,0.6,1.0,5,15.0
1K8U,3MGN,A,H,89,1,1.0,1.0,1,6.0
1K8U,3OQY,A,b,89,14,0.3333333333333333,0.8571428571428571,12,20.0
1K8U,3PKV,A,A,89,221,0.3157894736842105,0.8539325842696629,76,31.0
1KMM,1OB4,A,A,386,5,1.0,0.8,4,21.0
1KMM,1OB7,A,A,386,5,1.0,0.8,4,21.0
1KMM,1P9I,B,A,364,29,0.3076923076923077,0.896551724137931,26,26.5
1KMM,1Y6X,A,A,386,87,0.352112676056338,0.8160919540229885,71,40.5
1KMM,2DKO,A,I,386,3,0.6666666666666666,1.0,3,12.0
1KMM,3FVA,A,A,386,6,0.4,0.8333333333333334,5,13.0
1KMM,3L41,A,B,386,5,0.5,0.8,4,15.0
1KMM,3MD4,A,A,386,6,0.4,0.8333333333333334,5,16.0
1KMM,3MGN,A,H,386,1,1.0,1.0,1,6.0
1KMM,3OBQ,A,B,386,9,0.5,0.8888888888888888,8,15.0
1KMM,3PTL,A,B,386,10,0.4444444444444444,0.9,9,19.0
1KMM,3PZZ,A,A,386,6,0.5,1.0,6,14.0
1KMM,3Q2X,A,A,386,6,0.3333333333333333,1.0,6,12.0
1KMM,3R87,C,A,387,132,0.3090909090909091,0.8333333333333334,110,36.5
1KMM,4G14,A,A,386,5,0.75,0.8,4,16.0
1KNG,1OB4,A,A,144,5,0.75,0.8,4,17.0
1KNG,1OB7,A,A,144,5,0.75,0.8,4,17.0
1KNG,2D5W,A,C,144,5,0.6,1.0,5,10.0
1KNG,2OL9,A,A,144,6,0.4,0.8333333333333334,5,11.0
1KNG,2OLX,A,A,144,4,0.5,1.0,4,10.0
1KNG,2VE8,A,G,144,60,0.3877551020408163,0.8166666666666667,49,33.0
1KNG,2VQ4,A,A,144,106,0.3,0.8490566037735849,90,46.0
1KNG,3FVA,A,A,144,6,0.3333333333333333,1.0,6,11.0
1KNG,3MGN,A,H,144,1,1.0,1.0,1,6.0
1KNG,3OBQ,A,B,144,9,0.375,0.8888888888888888,8,21.0
1KNG,3Q2X,A,A,144,6,0.4,0.8333333333333334,5,14.0
1KNG,4HWM,A,A,144,117,0.32653061224489793,0.8376068376068376,98,35.0
1KNG,4J78,A,B,144,5,0.4,1.0,5,10.0
1KR4,1UKU,A,A,110,102,0.47959183673469385,0.9607843137254902,98,256.0
1KR4,2DPL,A,A,110,287,0.34408602150537637,0.8454545454545455,93,57.0
1KR4,2NUH,A,A,110,104,0.3163265306122449,0.9423076923076923,98,127.0
1KR4,3FOD,A,A,110,6,0.5,1.0,6,14.0
1KR4,3L41,A,B,110,5,0.6,1.0,5,14.0
1KR4,3MGN,A,H,110,1,1.0,1.0,1,6.0
1KR4,3Q2X,A,A,110,6,0.6,0.8333333333333334,5,17.0
1KR4,4ES1,A,A,110,95,0.3333333333333333,0.8210526315789474,78,59.0
1KYC,1NKD,A,A,15,59,0.4166666666666667,0.8,12,20.0
1KYC,1QTO,A,A,15,122,0.3076923076923077,0.8666666666666667,13,20.0
1KYC,1R7J,A,A,15,90,0.3076923076923077,0.8666666666666667,13,30.0
1KYC,1YZM,A,A,15,46,0.3076923076923077,0.8666666666666667,13,20.0
1KYC,2BF9,A,A,15,35,0.3333333333333333,0.8,12,18.0
1KYC,2DKO,A,I,15,3,0.3333333333333333,1.0,3,8.0
1KYC,2G7O,A,A,15,68,0.4166666666666667,0.8,12,26.0
1KYC,2G7S,A,A,15,190,0.42857142857142855,0.9333333333333333,14,26.0
1KYC,2RFR,A,A,15,154,0.5,0.8,12,20.0
1KYC,2VH7,A,A,15,94,0.4166666666666667,0.8,12,18.0
1KYC,2W1V,A,A,15,274,0.3333333333333333,0.8,12,22.0
1KYC,2WUJ,A,A,15,50,0.35714285714285715,0.9333333333333333,14,22.0
1KYC,2X3M,A,A,15,166,0.35714285714285715,0.9333333333333333,14,18.0
1KYC,2Y0T,A,A,15,52,0.38461538461538464,0.8666666666666667,13,25.0
1KYC,2YNY,A,A,15,106,0.35714285714285715,0.9333333333333333,14,24.0
1KYC,3FCN,A,A,15,158,0.3333333333333333,0.8,12,22.0
1KYC,3FSO,A,A,15,109,0.42857142857142855,0.9333333333333333,14,22.0
1KYC,3MGN,A,A,15,45,0.3076923076923077,0.8666666666666667,13,27.0
1KYC,3SR3,A,A,15,333,0.38461538461538464,0.8666666666666667,13,23.0
1KYC,3V1A,A,A,15,48,0.3333333333333333,0.8,12,17.0
1KYC,4AM1,A,A,15,345,0.4166666666666667,0.8,12,27.0
1KYC,4ANN,A,A,15,176,0.5,0.8,12,23.0
1KYC,4ES1,A,A,15,95,0.35714285714285715,0.9333333333333333,14,18.0
1KYC,4GS3,A,A,15,90,0.3076923076923077,0.8666666666666667,13,15.0
1LR7,1Q9B,A,A,73,43,0.45714285714285713,0.813953488372093,35,37.0
1LR7,1RJU,A,V,73,36,0.41379310344827586,0.8055555555555556,29,42.0
1LR7,1XY1,A,A,73,8,0.42857142857142855,0.875,7,16.0
1LR7,1XY2,A,A,73,8,0.42857142857142855,0.875,7,16.0
1LR7,2D5W,A,C,73,5,0.5,0.8,4,15.0
