protein_id,cluster_id,protein_fold,cluster_fold
2WWE,cluster_2WWE,4,4
2X1Q,cluster_2X1Q,5,5
2X25,cluster_2X25,4,2
2X3M,cluster_2X3M,2,3
2X5Y,cluster_2X5Y,1,4
2X9Z,cluster_2X9Z,3,5
2XHF,cluster_2XHF,2,5
2Y0T,cluster_2Y0T,1,3
2Y72,cluster_2Y72,5,5
2Y7L,cluster_2Y7L,2,4
2Y9F,cluster_2Y9F,5,4
2YLB,cluster_2YLB,3,2
2YNY,cluster_2YNY,1,1
2ZCM,cluster_2ZCM,3,1
2ZU1,cluster_2ZU1,5,2
3A0M,cluster_3A0M,3,1
3A7L,cluster_3A7L,2,4
3AMC,cluster_3AMC,3,2
3AUB,cluster_3AUB,2,1
3B5O,cluster_3B5O,5,1
3BA1,cluster_3BA1,4,4
3BED,cluster_3BED,1,1
3BQX,cluster_3BQX,4,4
3BZQ,cluster_3BZQ,2,3
3BZZ,cluster_3BZZ,5,5
3DRF,cluster_3DRF,1,4
3DWV,cluster_3DWV,1,2
3E5T,cluster_2HQK,4,1
3E7R,cluster_3E7R,3,4
3EUR,cluster_3EUR,1,3
3F2Z,cluster_3F2Z,4,3
3F7E,cluster_3F7E,3,3
3FCN,cluster_3FCN,4,1
3FE7,cluster_3FE7,4,3
3FKE,cluster_3FKE,4,5
3FMY,cluster_3FMY,5,2
3FOD,cluster_3FOD,2,1
3FSO,cluster_3FSO,1,2
3FTD,cluster_3FTD,1,1
3FVA,cluster_3FVA,5,1
3G1S,cluster_3G1S,1,1
3GBW,cluster_3GBW,2,4
3GHJ,cluster_3GHJ,1,5
3HFO,cluster_3HFO,2,4
3HHP,cluster_3HHP,5,5
3HNY,cluster_3HNY,2,5
3HP4,cluster_3HP4,2,4
3HWU,cluster_3HWU,2,2
3HYD,cluster_3HYD,5,5
3HZ8,cluster_3HZ8,2,2
3I2V,cluster_3I2V,2,3
3I2Z,cluster_3I2Z,4,5
3I4O,cluster_3I4O,1,1
3I7M,cluster_3I7M,2,2
3IHS,cluster_1OPD,4,2
3IVV,cluster_3IVV,3,4
3K6Y,cluster_3K6Y,2,2
3KBE,cluster_3KBE,2,5
3KGK,cluster_3KGK,4,2
3KZD,cluster_3KZD,5,3
3L41,cluster_2ETX,1,1
3LAA,cluster_3LAA,3,3
3LAX,cluster_3LAX,1,3
3LG3,cluster_3LG3,5,4
3LJI,cluster_3LJI,4,5
3M3P,cluster_3M3P,1,1
3M8J,cluster_3M8J,4,1
3M9J,cluster_3M9J,3,3
3M9Q,cluster_3M9Q,1,2
3MAB,cluster_1OPD,3,2
3MD4,cluster_3MD4,2,2
3MD5,cluster_3MD5,1,5
3MEA,cluster_3MEA,3,2
3MGN,cluster_3MGN,4,2
3MRE,cluster_3MRE,2,5
3N11,cluster_3N11,5,1
3NE0,cluster_3NE0,4,1
3NGG,cluster_3NGG,3,1
3NPV,cluster_3NPV,2,5
3NVG,cluster_3NVG,3,2
3NZL,cluster_3NZL,1,5
3O0P,cluster_3O0P,2,5
3O5P,cluster_3O5P,1,5
3OBQ,cluster_3OBQ,1,2
3OQY,cluster_3OQY,3,3
3P6J,cluster_3P6J,5,3
3PD7,cluster_3PD7,1,5
3PES,cluster_3PES,4,3
3PID,cluster_3PID,3,4
3PIW,cluster_3PIW,1,5
3PKV,cluster_3PKV,3,3
3PSM,cluster_3PSM,2,4
3PTL,cluster_3PTL,5,4
3PVE,cluster_3PVE,1,1
3PZ9,cluster_3PZ9,2,4
3PZZ,cluster_3PZZ,4,2
3Q2X,cluster_3Q2X,1,4
3Q6L,cluster_3Q6L,4,2
3QDS,cluster_3QDS,5,1
3QPA,cluster_3QPA,5,5
3R6D,cluster_3R6D,2,4
3R87,cluster_3R87,1,5
3RQ9,cluster_3RQ9,3,1
3RY0,cluster_3RY0,3,1
3RZY,cluster_3Q6L,5,2
3S0A,cluster_3S0A,3,2
3SD2,cluster_3SD2,2,1
3SEB,cluster_3SEB,3,3
3SED,cluster_3SED,3,2
3SO6,cluster_3SO6,5,1
3SR3,cluster_3SR3,5,5
3SUK,cluster_3SUK,3,2
3SZH,cluster_3SZH,3,2
3T0H,cluster_3T0H,5,5
3T3K,cluster_3T3K,3,3
3T47,cluster_3T47,1,4
3TDN,cluster_3TDN,4,3
3TOW,cluster_3TOW,3,1
3TUA,cluster_3TUA,2,2
3TYS,cluster_3TYS,5,3
3U6G,cluster_3U6G,5,4
3U97,cluster_3U97,2,5
3UCI,cluster_3UCI,5,3
3UR8,cluster_3UR8,4,4
3US6,cluster_3US6,1,5
3V1A,cluster_3V1A,3,5
3V75,cluster_3V75,2,2
3VN0,cluster_3VN0,4,1
3VOR,cluster_3VOR,3,5
3VUB,cluster_3VUB,4,3
3VVV,cluster_3VVV,5,1
3VZ9,cluster_3VZ9,5,5
3W4Q,cluster_1ES5,4,3
3ZBD,cluster_3ZBD,4,1
3ZIT,cluster_3ZIT,5,3
3ZRX,cluster_3ZRX,3,3
3ZSL,cluster_3ZSL,3,2
3ZZP,cluster_3ZZP,2,2
3ZZY,cluster_3ZZY,4,3
4A02,cluster_4A02,1,2
4ACJ,cluster_4ACJ,1,1
4AE7,cluster_4AE7,1,3
4AM1,cluster_4AM1,2,4
4ANN,cluster_4ANN,5,3
4AVR,cluster_4AVR,3,1
4AXY,cluster_4AXY,3,4
4B6G,cluster_4B6G,4,3
4B9G,cluster_4B9G,1,5
4DD5,cluster_4DD5,4,1
4DKN,cluster_4DKN,5,3
4DND,cluster_4DND,5,3
4DPZ,cluster_4DPZ,4,1
4DQ7,cluster_4DQ7,4,3
4DT4,cluster_4DT4,5,4
4EK3,cluster_4EK3,3,3
4ERY,cluster_4ERY,5,2
4ES1,cluster_4ES1,4,1
4EUG,cluster_4EUG,5,1
4F01,cluster_4F01,1,3
4F3J,cluster_4F3J,3,3
4FR9,cluster_4FR9,5,2
4G14,cluster_4G14,4,1
4G2E,cluster_4G2E,2,4
4G5X,cluster_4G5X,3,1
4G6C,cluster_4G6C,2,3
4G7X,cluster_4G7X,3,3
4GA2,cluster_4GA2,1,5
4GMQ,cluster_4GMQ,3,5
4GS3,cluster_4GS3,2,3
4H4J,cluster_4H4J,4,4
4H89,cluster_4H89,2,4
4HDE,cluster_4HDE,5,5
4HJP,cluster_4HJP,1,4
4HWM,cluster_4HWM,2,4
4IL7,cluster_4IL7,2,2
4J11,cluster_4J11,1,5
4J5O,cluster_4J5O,2,2
4J5Q,cluster_2FG1,5,1
4J78,cluster_4J78,4,3
4JG2,cluster_4JG2,5,2
4JVU,cluster_4JVU,1,4
4JYP,cluster_4JYP,4,2
4KEF,cluster_4KEF,3,3
5CYT,cluster_1CCR,3,5
6RXN,cluster_6RXN,1,1
